lmbda,k,gamma,trial,model,rho,cr,C_T
5,1,0.00025,16,mixture_model,0.6,,
5,1,0.00025,16,mixture_model,0.7000000000000001,,
5,1,0.00025,16,mixture_model,0.8,,
5,1,0.00025,16,mixture_model,0.9,,
5,1,0.00025,16,true_distr,0.1,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.2,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.30000000000000004,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.4,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.5,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.6,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.7000000000000001,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.8,0.0625,2.736654323335261
5,1,0.00025,16,true_distr,0.9,0.0625,2.736654323335261
5,1,0.00025,17,mixed_model,0.1,,
5,1,0.00025,17,mixed_model,0.2,,
5,1,0.00025,17,mixed_model,0.30000000000000004,,
5,1,0.00025,17,mixed_model,0.4,,
5,1,0.00025,17,mixed_model,0.5,,
5,1,0.00025,17,mixed_model,0.6,,
5,1,0.00025,17,mixed_model,0.7000000000000001,,
5,1,0.00025,17,mixed_model,0.8,,
5,1,0.00025,17,mixed_model,0.9,,
5,1,0.00025,17,mixture_model,0.1,,
5,1,0.00025,17,mixture_model,0.2,,
5,1,0.00025,17,mixture_model,0.30000000000000004,,
5,1,0.00025,17,mixture_model,0.4,,
5,1,0.00025,17,mixture_model,0.5,,
5,1,0.00025,17,mixture_model,0.6,,
5,1,0.00025,17,mixture_model,0.7000000000000001,,
5,1,0.00025,17,mixture_model,0.8,,
5,1,0.00025,17,mixture_model,0.9,,
5,1,0.00025,17,true_distr,0.1,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.2,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.30000000000000004,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.4,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.5,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.6,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.7000000000000001,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.8,0.0555,2.3305355568676593
5,1,0.00025,17,true_distr,0.9,0.0555,2.3305355568676593
5,1,0.00025,18,mixed_model,0.1,,
5,1,0.00025,18,mixed_model,0.2,,
5,1,0.00025,18,mixed_model,0.30000000000000004,,
5,1,0.00025,18,mixed_model,0.4,,
5,1,0.00025,18,mixed_model,0.5,,
5,1,0.00025,18,mixed_model,0.6,,
5,1,0.00025,18,mixed_model,0.7000000000000001,,
5,1,0.00025,18,mixed_model,0.8,,
5,1,0.00025,18,mixed_model,0.9,,
5,1,0.00025,18,mixture_model,0.1,,
5,1,0.00025,18,mixture_model,0.2,,
5,1,0.00025,18,mixture_model,0.30000000000000004,,
5,1,0.00025,18,mixture_model,0.4,,
5,1,0.00025,18,mixture_model,0.5,,
5,1,0.00025,18,mixture_model,0.6,,
5,1,0.00025,18,mixture_model,0.7000000000000001,,
5,1,0.00025,18,mixture_model,0.8,,
5,1,0.00025,18,mixture_model,0.9,,
5,1,0.00025,18,true_distr,0.1,0.089,2.9517134326494947
